زمان,باران 6 (mm),تابش خورشیدی 7 (W/m2),جهت باد 5 (degree),دما 1 (°C),رطوبت 2 (%),سرعت باد 4 (km/h),فشار هوا 3 (kPa)
00:50                                                     1405/04/21,355.2mm,0W/m2,147.7degree,21.4°C,45.5%,4.6km/h,91.1kPa
00:50                                                     1405/04/22,355.2mm,0W/m2,208.8degree,13.8°C,74.8%,7.8km/h,91.1kPa
00:50                                                     1405/04/23,366.8mm,0W/m2,106.1degree,12.2°C,93.6%,1.7km/h,91.6kPa
00:50                                                     1405/04/24,367.4mm,0W/m2,279.4degree,14.9°C,90.5%,2.7km/h,91.4kPa
00:50                                                     1405/04/25,376.8mm,0W/m2,346.3degree,15.2°C,75.8%,3.8km/h,91.6kPa
00:50                                                     1405/04/26,376.8mm,0W/m2,315.6degree,20.8°C,53.7%,6.2km/h,91.7kPa
00:50                                                     1405/04/27,376.8mm,0W/m2,326.5degree,14.7°C,59.2%,13.4km/h,91.6kPa
00:50                                                     1405/04/28,376.8mm,0W/m2,352.4degree,15.0°C,73.9%,1.5km/h,91.5kPa
00:50                                                     1405/04/29,376.8mm,0W/m2,324.4degree,18.2°C,47.2%,6.7km/h,91.6kPa
00:50                                                     1405/04/30,376.8mm,0W/m2,255.2degree,16.3°C,62.4%,0.9km/h,91.3kPa
00:50                                                     1405/05/01,376.8mm,0W/m2,209.4degree,16.6°C,63.3%,0.0km/h,91.8kPa
00:50                                                     1405/05/02,376.8mm,0W/m2,327.8degree,11.9°C,82.5%,1.7km/h,91.8kPa
00:50                                                     1405/05/03,376.8mm,0W/m2,258.1degree,13.5°C,72.9%,1.1km/h,91.7kPa
00:50                                                     1405/05/04,376.8mm,0W/m2,321.1degree,15.4°C,59.2%,3.2km/h,91.7kPa
00:50                                                     1405/05/05,376.8mm,0W/m2,343.6degree,16.5°C,46.2%,5.1km/h,91.3kPa
00:50                                                     1405/05/06,376.8mm,0W/m2,336.7degree,21.2°C,35.8%,5.8km/h,91.2kPa
00:50                                                     1405/05/07,376.8mm,0W/m2,311.6degree,23.0°C,33.4%,0.0km/h,91.0kPa
00:50                                                     1405/05/08,376.8mm,0W/m2,309.5degree,19.1°C,56.1%,6.3km/h,91.7kPa
00:50                                                     1405/05/09,376.8mm,0W/m2,317.8degree,20.2°C,48.9%,6.0km/h,91.5kPa
00:50                                                     1405/05/10,377.4mm,0W/m2,332.7degree,15.8°C,83.9%,2.5km/h,92.1kPa
00:50                                                     1405/05/11,378.4mm,0W/m2,313.4degree,17.0°C,63.2%,6.4km/h,92.1kPa
01:00                                                     1405/03/22,290.2mm,0W/m2,104.8degree,11.0°C,64.3%,2.7km/h,91.5kPa
01:00                                                     1405/03/23,290.6mm,0W/m2,272.6degree,11.3°C,64.9%,3.7km/h,91.8kPa
01:00                                                     1405/03/24,290.6mm,0W/m2,332.4degree,14.2°C,59.4%,4.5km/h,91.6kPa
01:00                                                     1405/03/25,290.6mm,0W/m2,205.4degree,18.2°C,48.4%,3.2km/h,91.2kPa
01:00                                                     1405/03/26,295.0mm,0W/m2,233.1degree,11.7°C,87.7%,2.6km/h,91.1kPa
01:00                                                     1405/03/27,295.0mm,0W/m2,289.8degree,14.6°C,74.3%,5.1km/h,91.2kPa
01:00                                                     1405/03/28,297.4mm,0W/m2,313.0degree,15.1°C,86.1%,2.3km/h,90.8kPa
01:00                                                     1405/03/29,304.2mm,0W/m2,273.6degree,11.1°C,68.6%,1.9km/h,90.9kPa
01:00                                                     1405/03/30,325.8mm,0W/m2,17.3degree,9.2°C,80.3%,4.7km/h,90.8kPa
01:00                                                     1405/03/31,325.8mm,0W/m2,323.0degree,13.0°C,54.7%,2.0km/h,91.2kPa
01:00                                                     1405/04/01,325.8mm,0W/m2,212.1degree,17.0°C,52.8%,9.3km/h,91.1kPa
01:00                                                     1405/04/02,350.4mm,0W/m2,0.1degree,10.0°C,75.6%,2.6km/h,91.6kPa
01:00                                                     1405/04/03,350.6mm,0W/m2,309.4degree,8.6°C,86.8%,3.0km/h,91.6kPa
01:00                                                     1405/04/04,350.6mm,0W/m2,254.8degree,9.5°C,84.5%,5.1km/h,91.3kPa
01:00                                                     1405/04/09,406.4mm,0W/m2,161.6degree,8.4°C,87.6%,4.8km/h,91.5kPa
01:00                                                     1405/04/10,406.4mm,0W/m2,324.5degree,11.5°C,74.4%,5.1km/h,91.8kPa
01:00                                                     1405/04/11,406.8mm,0W/m2,175.6degree,10.2°C,80.3%,1.1km/h,92.1kPa
01:00                                                     1405/04/12,406.8mm,0W/m2,294.9degree,11.8°C,73.1%,1.8km/h,92.1kPa
01:00                                                     1405/04/13,355.2mm,0W/m2,288.5degree,14.2°C,59.7%,5.8km/h,91.6kPa
01:00                                                     1405/04/14,355.2mm,0W/m2,341.7degree,14.8°C,68.2%,3.8km/h,91.3kPa
01:00                                                     1405/04/15,355.2mm,0W/m2,134.4degree,9.0°C,76.3%,4.5km/h,92.0kPa
01:00                                                     1405/04/16,355.2mm,0W/m2,80.8degree,12.1°C,64.0%,17.7km/h,91.8kPa
01:00                                                     1405/04/17,355.2mm,0W/m2,296.3degree,8.0°C,72.8%,1.5km/h,92.2kPa
01:00                                                     1405/04/18,355.2mm,0W/m2,347.8degree,8.0°C,66.7%,3.6km/h,92.2kPa
01:00                                                     1405/04/19,355.2mm,0W/m2,274.9degree,11.7°C,63.6%,5.6km/h,91.7kPa
01:00                                                     1405/04/20,355.2mm,0W/m2,244.9degree,16.5°C,43.4%,7.6km/h,91.1kPa
01:00                                                     1405/04/21,355.2mm,0W/m2,211.1degree,20.5°C,49.3%,6.5km/h,91.2kPa
01:00                                                     1405/04/22,355.2mm,0W/m2,212.3degree,13.7°C,75.8%,9.1km/h,91.1kPa
01:00                                                     1405/04/23,366.8mm,0W/m2,182.8degree,12.0°C,93.6%,5.8km/h,91.6kPa
01:00                                                     1405/04/24,367.4mm,0W/m2,247.0degree,14.6°C,90.5%,1.2km/h,91.4kPa
01:00                                                     1405/04/25,376.8mm,0W/m2,317.1degree,14.9°C,77.4%,0.4km/h,91.6kPa
01:00                                                     1405/04/26,376.8mm,0W/m2,308.6degree,20.6°C,53.3%,5.4km/h,91.7kPa
01:00                                                     1405/04/28,376.8mm,0W/m2,351.9degree,15.0°C,73.1%,3.1km/h,91.5kPa
01:00                                                     1405/04/29,376.8mm,0W/m2,312.8degree,18.3°C,46.8%,11.0km/h,91.6kPa
01:00                                                     1405/04/30,376.8mm,0W/m2,295.6degree,16.3°C,61.5%,3.3km/h,91.3kPa
01:00                                                     1405/05/01,376.8mm,0W/m2,357.4degree,16.1°C,67.0%,4.7km/h,91.8kPa
01:00                                                     1405/05/02,376.8mm,0W/m2,339.6degree,11.9°C,81.8%,2.9km/h,91.8kPa
01:00                                                     1405/05/03,376.8mm,0W/m2,259.1degree,13.5°C,73.9%,1.3km/h,91.7kPa
01:00                                                     1405/05/04,376.8mm,0W/m2,351.2degree,15.2°C,59.8%,5.6km/h,91.7kPa
01:00                                                     1405/05/05,376.8mm,0W/m2,6.5degree,16.2°C,47.7%,3.2km/h,91.3kPa
01:00                                                     1405/05/06,376.8mm,0W/m2,321.4degree,20.0°C,40.1%,2.6km/h,91.2kPa
01:00                                                     1405/05/07,376.8mm,0W/m2,332.1degree,21.4°C,37.1%,4.2km/h,91.0kPa
01:00                                                     1405/05/08,376.8mm,0W/m2,312.7degree,19.1°C,56.0%,6.4km/h,91.7kPa
01:00                                                     1405/05/09,376.8mm,0W/m2,326.4degree,20.5°C,47.5%,7.0km/h,91.5kPa
01:00                                                     1405/05/10,377.6mm,0W/m2,4.2degree,15.6°C,84.5%,2.7km/h,92.0kPa
01:00                                                     1405/05/11,378.4mm,0W/m2,325.3degree,17.0°C,63.4%,5.1km/h,92.1kPa
01:10                                                     1405/03/22,290.2mm,0W/m2,54.1degree,11.2°C,63.8%,1.9km/h,91.5kPa
01:10                                                     1405/03/23,290.6mm,0W/m2,274.4degree,11.5°C,63.4%,3.0km/h,91.7kPa
01:10                                                     1405/03/24,290.6mm,0W/m2,20.7degree,14.2°C,61.5%,0.6km/h,91.6kPa
01:10                                                     1405/03/25,290.6mm,0W/m2,183.8degree,18.1°C,47.8%,27.3km/h,91.2kPa
01:10                                                     1405/03/26,295.0mm,0W/m2,190.1degree,11.8°C,87.9%,4.9km/h,91.1kPa
01:10                                                     1405/03/27,295.0mm,0W/m2,329.7degree,14.1°C,75.7%,3.3km/h,91.2kPa
01:10                                                     1405/03/28,297.4mm,0W/m2,320.4degree,15.1°C,85.0%,7.3km/h,90.7kPa
01:10                                                     1405/03/29,304.2mm,0W/m2,307.4degree,10.1°C,72.2%,3.5km/h,90.9kPa
01:10                                                     1405/03/31,325.8mm,0W/m2,310.5degree,13.2°C,53.7%,2.4km/h,91.1kPa
01:10                                                     1405/04/01,325.8mm,0W/m2,207.0degree,16.9°C,54.8%,13.6km/h,91.1kPa
01:10                                                     1405/04/02,350.4mm,0W/m2,327.0degree,9.9°C,74.9%,2.8km/h,91.6kPa
01:10                                                     1405/04/04,350.6mm,0W/m2,333.9degree,9.3°C,84.5%,1.1km/h,91.3kPa
01:10                                                     1405/04/09,406.4mm,0W/m2,175.2degree,8.5°C,87.4%,4.4km/h,91.5kPa
01:10                                                     1405/04/10,406.4mm,0W/m2,318.7degree,11.1°C,76.4%,3.5km/h,91.7kPa
01:10                                                     1405/04/12,406.8mm,0W/m2,317.0degree,12.0°C,71.7%,6.4km/h,92.1kPa
01:10                                                     1405/04/13,355.2mm,0W/m2,245.5degree,13.1°C,65.9%,4.2km/h,91.6kPa
01:10                                                     1405/04/14,355.2mm,0W/m2,315.3degree,14.9°C,66.5%,1.1km/h,91.3kPa
01:10                                                     1405/04/15,355.2mm,0W/m2,102.2degree,9.3°C,75.4%,5.0km/h,92.0kPa
01:10                                                     1405/04/16,355.2mm,0W/m2,96.7degree,11.9°C,63.8%,9.8km/h,91.8kPa
01:10                                                     1405/04/17,355.2mm,0W/m2,300.2degree,7.2°C,74.4%,1.7km/h,92.2kPa
01:10                                                     1405/04/18,355.2mm,0W/m2,332.0degree,7.8°C,67.5%,6.3km/h,92.2kPa
01:10                                                     1405/04/19,355.2mm,0W/m2,263.7degree,11.6°C,62.6%,4.2km/h,91.7kPa
01:10                                                     1405/04/20,355.2mm,0W/m2,233.3degree,17.9°C,37.9%,7.1km/h,91.0kPa
01:10                                                     1405/04/21,355.2mm,0W/m2,168.2degree,20.2°C,50.3%,2.7km/h,91.1kPa
01:10                                                     1405/04/22,355.2mm,0W/m2,200.8degree,13.7°C,76.0%,10.0km/h,91.2kPa
01:10                                                     1405/04/23,366.8mm,0W/m2,234.6degree,12.0°C,93.9%,5.8km/h,91.7kPa
01:10                                                     1405/04/24,367.4mm,0W/m2,161.5degree,14.7°C,90.7%,1.3km/h,91.4kPa
01:10                                                     1405/04/25,376.8mm,0W/m2,336.5degree,15.1°C,75.8%,6.2km/h,91.6kPa
01:10                                                     1405/04/26,376.8mm,0W/m2,330.6degree,20.8°C,52.4%,5.6km/h,91.7kPa
01:10                                                     1405/04/27,376.8mm,0W/m2,347.1degree,14.3°C,59.1%,4.2km/h,91.6kPa
01:10                                                     1405/04/28,376.8mm,0W/m2,324.8degree,14.6°C,74.8%,2.6km/h,91.5kPa
01:10                                                     1405/04/29,376.8mm,0W/m2,319.2degree,18.6°C,45.3%,6.0km/h,91.5kPa
01:10                                                     1405/05/01,376.8mm,0W/m2,332.2degree,15.4°C,70.2%,0.9km/h,91.8kPa
01:10                                                     1405/05/02,376.8mm,0W/m2,326.5degree,11.9°C,82.1%,1.9km/h,91.8kPa
01:10                                                     1405/05/03,376.8mm,0W/m2,187.9degree,13.4°C,75.0%,0.9km/h,91.7kPa
01:10                                                     1405/05/04,376.8mm,0W/m2,70.1degree,14.8°C,60.9%,3.5km/h,91.7kPa
01:10                                                     1405/05/05,376.8mm,0W/m2,358.3degree,16.1°C,49.6%,3.8km/h,91.3kPa
01:10                                                     1405/05/06,376.8mm,0W/m2,348.0degree,18.2°C,45.6%,6.0km/h,91.2kPa
01:10                                                     1405/05/07,376.8mm,0W/m2,332.3degree,21.5°C,37.5%,8.6km/h,91.0kPa
01:10                                                     1405/05/08,376.8mm,0W/m2,312.0degree,18.8°C,57.5%,6.5km/h,91.7kPa
01:10                                                     1405/05/09,376.8mm,0W/m2,319.6degree,20.6°C,47.2%,7.7km/h,91.5kPa
01:10                                                     1405/05/10,377.6mm,0W/m2,55.8degree,15.5°C,83.9%,5.5km/h,92.0kPa
01:10                                                     1405/05/11,378.4mm,0W/m2,324.5degree,17.1°C,63.0%,1.2km/h,92.1kPa
01:20                                                     1405/03/22,290.2mm,0W/m2,276.8degree,10.9°C,65.0%,3.2km/h,91.5kPa
01:20                                                     1405/03/23,290.6mm,0W/m2,281.3degree,11.3°C,64.0%,3.0km/h,91.7kPa
01:20                                                     1405/03/24,290.6mm,0W/m2,336.9degree,14.3°C,60.8%,7.1km/h,91.6kPa
01:20                                                     1405/03/25,290.6mm,0W/m2,165.1degree,17.8°C,54.7%,6.6km/h,91.2kPa
01:20                                                     1405/03/26,295.0mm,0W/m2,188.2degree,12.0°C,87.9%,4.7km/h,91.1kPa
01:20                                                     1405/03/27,295.0mm,0W/m2,322.5degree,14.0°C,76.4%,2.8km/h,91.2kPa
01:20                                                     1405/03/28,297.4mm,0W/m2,324.4degree,14.9°C,85.5%,13.2km/h,90.6kPa
01:20                                                     1405/03/29,304.2mm,0W/m2,312.4degree,9.4°C,75.2%,4.6km/h,90.8kPa
